               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.013806,           0.0047889,           0.0020634,             0.99869,                   1,               0.995,             0.92512,             0.01025,           0.0022674,           0.0004439,           0.0098436,           0.0098436,           0.0098436
                  81,            0.012755,           0.0056003,           0.0011824,             0.99873,                   1,               0.995,             0.95269,            0.011366,           0.0022574,          0.00043898,           0.0098416,           0.0098416,           0.0098416
                  82,            0.015428,           0.0047373,           0.0012492,             0.99867,                   1,               0.995,             0.91318,            0.012497,           0.0021778,          0.00045694,           0.0098396,           0.0098396,           0.0098396
                  83,            0.013839,           0.0050745,           0.0008261,             0.99864,                   1,               0.995,             0.94307,            0.012554,           0.0022554,          0.00048747,           0.0098376,           0.0098376,           0.0098376
                  84,            0.015364,           0.0047801,           0.0011662,             0.99865,                   1,               0.995,             0.91838,            0.012095,           0.0023506,          0.00049429,           0.0098357,           0.0098357,           0.0098357
                  85,            0.013099,           0.0043735,           0.0020164,             0.99847,                   1,               0.995,             0.91537,            0.013081,           0.0022669,          0.00054011,           0.0098337,           0.0098337,           0.0098337
                  86,            0.016461,           0.0046999,           0.0012917,             0.99847,                   1,               0.995,             0.91553,              0.0119,           0.0022962,          0.00054986,           0.0098317,           0.0098317,           0.0098317
                  87,             0.01481,           0.0050653,           0.0019867,             0.99844,                   1,               0.995,             0.94698,             0.01179,           0.0022065,          0.00059656,           0.0098297,           0.0098297,           0.0098297
                  88,            0.015209,           0.0048271,           0.0018604,             0.99845,                   1,               0.995,             0.92463,            0.012657,           0.0021744,          0.00062245,           0.0098277,           0.0098277,           0.0098277
                  89,            0.013569,           0.0047861,            0.002001,             0.99873,                   1,               0.995,             0.95461,            0.012271,           0.0022602,          0.00064818,           0.0098258,           0.0098258,           0.0098258
                  90,            0.016949,           0.0055104,           0.0011341,             0.99868,                   1,               0.995,              0.8406,            0.013317,           0.0024577,          0.00062186,           0.0098238,           0.0098238,           0.0098238
                  91,            0.015845,           0.0050472,           0.0020432,             0.99833,                   1,               0.995,             0.95138,           0.0096848,           0.0020948,           0.0006316,           0.0098218,           0.0098218,           0.0098218
                  92,            0.015188,           0.0050429,            0.001198,             0.99829,                   1,               0.995,             0.91289,            0.013534,           0.0024179,          0.00060711,           0.0098198,           0.0098198,           0.0098198
                  93,             0.01294,           0.0050494,           0.0016362,             0.99853,                   1,               0.995,             0.91741,            0.010828,           0.0023098,          0.00058161,           0.0098178,           0.0098178,           0.0098178
                  94,            0.013683,           0.0050212,           0.0020796,             0.99865,                   1,               0.995,             0.91824,            0.010101,           0.0023355,          0.00055939,           0.0098159,           0.0098159,           0.0098159
                  95,            0.012326,           0.0039597,          0.00081142,             0.99865,                   1,               0.995,             0.91313,            0.014407,           0.0025988,          0.00052258,           0.0098139,           0.0098139,           0.0098139
                  96,            0.016537,           0.0043412,            0.001343,              0.9987,                   1,               0.995,             0.83288,            0.015425,           0.0025583,          0.00047695,           0.0098119,           0.0098119,           0.0098119
                  97,            0.016732,           0.0046287,           0.0015683,              0.9986,                   1,               0.995,             0.84914,            0.018369,           0.0026513,          0.00045424,           0.0098099,           0.0098099,           0.0098099
                  98,            0.017773,           0.0050393,           0.0014266,             0.99849,                   1,               0.995,             0.90305,           0.0095662,            0.002301,          0.00043556,           0.0098079,           0.0098079,           0.0098079
                  99,            0.013187,           0.0053474,           0.0018903,             0.99839,                   1,               0.995,             0.90108,            0.012431,           0.0023467,          0.00040874,            0.009806,            0.009806,            0.009806
                 100,            0.017364,           0.0054072,           0.0019011,             0.99868,                   1,               0.995,             0.86865,            0.014101,           0.0024697,          0.00039317,            0.009804,            0.009804,            0.009804
                 101,            0.016341,           0.0052534,           0.0025061,             0.99842,                   1,               0.995,             0.92114,            0.013012,            0.002388,          0.00039315,            0.009802,            0.009802,            0.009802
                 102,             0.01671,           0.0049435,          0.00089728,             0.99827,                   1,               0.995,             0.92392,            0.011241,           0.0023266,          0.00039794,              0.0098,              0.0098,              0.0098
                 103,            0.014641,           0.0051484,            0.001198,             0.99831,                   1,               0.995,             0.89509,            0.013481,           0.0024651,          0.00039229,            0.009798,            0.009798,            0.009798
                 104,            0.016333,            0.005434,          0.00083653,             0.99813,                   1,               0.995,             0.91216,            0.011596,           0.0022798,          0.00038967,           0.0097961,           0.0097961,           0.0097961
                 105,            0.015029,           0.0050803,           0.0023028,             0.99823,                   1,               0.995,             0.91479,            0.013647,            0.002489,          0.00039989,           0.0097941,           0.0097941,           0.0097941
